Timestamp,Age,Occupation,Location,Education Level,I have a budget and I track my spendings regularly.,I pay my bills on time.,"With 5% inflation, Tk.100 will become Tk.105 next year.",I would rather deposit in a bank with 8% compound interest than in a bank with 9% simple interest for 10 years. (Fixed Account),"If I have adequate money, I would rather invest than spend most of it.","I am saving some money for a potential crisis or a future expenditure (buying real assets, children’s college etc.)",Do you think one should prepare his/her budget on a monthly basis?,Rate your influence on financial decisions within your household.,"Rate the level of influence of other household members (e.g., spouse, parents, siblings) on financial decisions in your household.",Rate your financial knowledge compared to other household members who influence financial decisions.,To what extent do you contribute to your family income? ,To what extent do you contribute in deciding the expenditure areas? ,To what extent do you contribute to saving from the family income? ,Do you feel that the division of financial responsibilities within your household is equitable?,Person Assigned,Financial Literacy Score,Household Decision Making,Decision Influence Index,Gender-Based Decision Index,Gender_Male,Social Class_Middle,Social Class_Upper,Social Class_Upper-Middle
11/1/2023 22:14,21,Student,Uttara,5,3,5,1,5,5,3,5,4,5,3,2,3,3,3,Rashidul,27,23,15,8,1,1,0,0
11/1/2023 22:42,28,Service Holder,Uttara sector_6 ,5,5,1,2,1,5,5,5,3,3,3,3,3,5,4,Rashidul,24,24,17,7,1,1,0,0
11/1/2023 22:59,26,Service Holder,Mirpur ,6,4,4,5,3,5,4,4,3,4,2,3,2,1,2,Rashidul,29,17,11,6,1,1,0,0
11/1/2023 23:11,28,Service Holder,Mirpur ,6,4,4,2,4,3,5,5,3,5,3,5,2,3,2,Rashidul,27,23,16,7,0,1,0,0
11/1/2023 23:17,48,Service Holder,Shantinagar,6,5,5,5,5,4,4,5,5,3,3,4,4,5,4,Marzan,33,28,21,7,0,0,1,0
11/1/2023 23:37,24,Student,Malibagh,5,5,5,5,1,5,5,5,5,4,5,2,4,3,4,Rashidul,31,27,19,8,1,0,0,1
11/1/2023 23:48,62,Retired,Gandaria ,5,5,5,4,5,5,5,4,5,4,4,5,4,5,3,Rashidul,33,30,23,7,1,1,0,0
11/1/2023 23:52,27,Service Holder,Dhanmondi,6,4,5,1,5,3,4,4,5,3,3,3,4,2,3,Rashidul,26,23,17,6,0,0,0,1
11/2/2023 0:00,23,Student,Mohakhali,5,3,5,4,3,5,2,4,1,5,1,1,3,3,1,Maliha,26,15,9,6,0,1,0,0
11/2/2023 0:01,52,Retired,Mirpur,5,5,5,3,4,2,3,2,4,2,5,2,5,5,4,Rashidul,24,27,21,6,1,0,0,1
11/2/2023 0:03,43,Homemaker,Uttara,4,5,5,3,4,2,2,2,5,5,5,5,5,5,2,Rashidul,23,32,25,7,0,1,0,0
11/2/2023 0:03,57,Businessman,Nikunja ,6,2,5,1,5,5,2,3,4,5,5,5,3,5,3,Rashidul,23,30,22,8,1,0,1,0
11/2/2023 0:04,24,Student,Gazipur,5,3,5,5,3,4,5,4,3,5,4,4,3,4,4,Maliha,29,27,18,9,1,0,0,1
11/2/2023 0:11,44,Businessman,Mohammadpur ,6,4,5,5,5,5,5,5,5,5,5,5,4,4,4,Rashidul,34,32,23,9,1,1,0,0
11/2/2023 0:21,29,Student,Lalmatia,6,5,5,5,3,5,4,4,4,4,3,4,4,4,4,Maliha,31,27,19,8,1,1,0,0
11/2/2023 0:27,32,Service Holder,Mohammadpur ,5,4,4,4,4,5,5,4,5,2,5,5,3,2,2,Rashidul,30,24,20,4,1,1,0,0
